,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,2.582,-1.3533616004252438,0.0,0.0,-1.3533616004252442
1593565200000,2.582,-1.3533616004252438,0.0,0.0,-1.3533616004252442
1593568800000,2.592,-1.3524557972328515,0.00023958982222436337,0.00023958982222432867,-1.3524557972328517
1593572400000,2.649,-1.3472927190362143,0.0016052518089031687,0.001605251808903141,-1.3472927190362145
1593576000000,2.647,-1.347473879674693,0.001557333844458289,0.0015573338444582197,-1.3474738796746932
1593579600000,2.63,-1.3490137451017603,0.0011500311466768887,0.0011500311466767776,-1.3490137451017603
1593583200000,2.604,-1.3513688334019807,0.0005270976088935855,0.0005270976088934676,-1.3513688334019807
1593586800000,2.598,-1.3519123153174162,0.0003833437155589675,0.00038334371555887037,-1.3519123153174162
1593590400000,2.624,-1.3495572270171956,0.0010062772533422915,0.001006277253342236,-1.3495572270171958
1593594000000,2.621,-1.3498289679749134,0.000934400306674979,0.0009344003066749096,-1.3498289679749136
1593597600000,2.611,-1.3507347711673057,0.0006948104844506364,0.0006948104844505809,-1.350734771167306
1593601200000,2.603,-1.3514594137212197,0.0005031386266711527,0.000503138626671118,-1.35145941372122
1593604800000,2.603,-1.3514594137212197,0.0005031386266711527,0.000503138626671118,-1.35145941372122
1593608400000,2.623,-1.3496478073364346,0.0009823182711198586,0.0009823182711198308,-1.3496478073364349
1593612000000,2.627,-1.3492854860594778,0.00107815420000959,0.0010781542000095623,-1.349285486059478
1593615600000,2.627,-1.3492854860594778,0.00107815420000959,0.0010781542000095623,-1.349285486059478
1593619200000,2.656,-1.3466586568015397,0.0017729646844602126,0.0017729646844601432,-1.34665865680154
1593622800000,2.674,-1.3450282110552334,0.002204226364464046,0.002204226364463935,-1.3450282110552334
1593626400000,2.68,-1.3444847291397979,0.002347980257798657,0.0023479802577985875,-1.344484729139798
1593630000000,2.638,-1.348289102547846,0.0013417030044563794,0.0013417030044563516,-1.3482891025478463
1593633600000,2.667,-1.345662273289908,0.002036513488906988,0.0020365134889069325,-1.3456622732899082
1593637200000,2.667,-1.345662273289908,0.002036513488906988,0.0020365134889069325,-1.3456622732899082
1593640800000,2.66,-1.3462963355245827,0.001868800613349958,0.0018688006133498747,-1.3462963355245827
1593644400000,2.654,-1.3468398174400182,0.001725046720015333,0.0017250467200152775,-1.3468398174400185
1593648000000,2.667,-1.345662273289908,0.002036513488906988,0.0020365134889069325,-1.3456622732899082
1593651600000,2.652,-1.3470209780784965,0.0016771287555704673,0.0016771287555704673,-1.347020978078497
1593655200000,2.69,-1.3435789259474054,0.0025875700800229995,0.0025875700800229717,-1.3435789259474056
1593658800000,2.695,-1.343126024351209,0.0027073649911351777,0.0027073649911351083,-1.3431260243512093
