,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,9117.98,-1.6928517862211467,0.0017774988141061876,0.0017774988141061598,-1.6928517862211463
1593565200000,9120.25,-1.6927103342246304,0.001815574895148192,0.0018155748951482198,-1.6927103342246301
1593568800000,9131.51,-1.6920086824709855,0.002004445675999722,0.0020044456759997775,-1.6920086824709852
1593572400000,9134.96,-1.691793700361743,0.002062314609741961,0.002062314609741933,-1.6917937003617425
1593576000000,9144.0,-1.6912303849218717,0.002213947989750664,0.002213947989750664,-1.6912303849218713
1593579600000,9139.68,-1.6914995799108365,0.002141486020542982,0.002141486020542982,-1.691499579910836
1593583200000,9131.74,-1.6919943503303696,0.0020083036049158565,0.0020083036049158287,-1.691994350330369
1593586800000,9132.25,-1.6919625703663943,0.002016858142947331,0.002016858142947331,-1.691962570366394
1593590400000,9171.16,-1.6895379460560642,0.002669519073936033,0.002669519073936033,-1.6895379460560638
1593594000000,9161.74,-1.6901249406847796,0.0025115117244137175,0.0025115117244137175,-1.6901249406847791
1593597600000,9146.53,-1.6910727313750937,0.0022563852078283098,0.002256385207828282,-1.691072731375093
1593601200000,9155.99,-1.6904832442001845,0.0024150635015099675,0.0024150635015098842,-1.6904832442001838
1593604800000,9161.92,-1.6901137242269062,0.002514530973130702,0.0025145309731306464,-1.6901137242269055
1593608400000,9210.0,-1.687117683701574,0.003321005852645914,0.0033210058526458863,-1.6871176837015733
1593612000000,9217.48,-1.6866515775632736,0.0034464724104406874,0.003446472410440715,-1.686651577563273
1593615600000,9265.8,-1.683640581760777,0.0042569729549118696,0.004256972954911842,-1.6836405817607762
1593619200000,9286.02,-1.6823805996596493,0.004596135227453418,0.004596135227453391,-1.6823805996596488
1593622800000,9281.82,-1.6826423170100318,0.004525686090723735,0.004525686090723735,-1.6826423170100313
1593626400000,9257.84,-1.6841365984534067,0.0041234550672051284,0.0041234550672051284,-1.6841365984534062
1593630000000,9242.79,-1.6850744189589442,0.003871012327257062,0.003871012327257062,-1.6850744189589437
1593633600000,9236.84,-1.6854451852053196,0.0037712093835566285,0.0037712093835566285,-1.6854451852053192
1593637200000,9239.36,-1.68528815479509,0.0038134788655944662,0.0038134788655944662,-1.6852881547950895
1593640800000,9243.21,-1.6850482472239061,0.0038780572409299885,0.0038780572409299885,-1.6850482472239057
1593644400000,9232.97,-1.6856863390496006,0.0037062955361414074,0.003706295536141435,-1.6856863390496002
1593648000000,9227.89,-1.6860028924162538,0.003621085627906445,0.003621085627906473,-1.6860028924162536
1593651600000,9249.39,-1.6846631488369144,0.003981718113546556,0.003981718113546584,-1.6846631488369141
1593655200000,9241.65,-1.6851454565254766,0.003851890418716114,0.0038518904187160863,-1.6851454565254762
1593658800000,9240.19,-1.6852364344615618,0.0038274009569005674,0.003827400956900595,-1.6852364344615614
1593662400000,9238.09,-1.6853672931367534,0.003792176388535712,0.003792176388535684,-1.685367293136753
1593666000000,9211.75,-1.6870086348055813,0.0033503596596166085,0.0033503596596166085,-1.6870086348055808
1593669600000,9201.15,-1.6876691595470228,0.0031725594573940308,0.0031725594573940863,-1.6876691595470226
1593673200000,9206.01,-1.6873663151844374,0.003254079172752694,0.003254079172752722,-1.6873663151844371
1593676800000,9204.92,-1.6874342370682274,0.003235795944410924,0.0032357959444108686,-1.6874342370682267
1593680400000,9207.3,-1.687285930569677,0.003275717121891092,0.0032757171218911196,-1.6872859305696766
1593684000000,9203.01,-1.6875532561489963,0.0032037583608029163,0.003203758360802944,-1.687553256148996
1593687600000,9193.47,-1.6881477284162938,0.003043738178802574,0.0030437381788026574,-1.6881477284162938
1593691200000,9237.95,-1.6853760170484327,0.0037898280839780696,0.003789828083978042,-1.6853760170484322
1593694800000,9243.26,-1.6850451315411632,0.0038788959211291663,0.0038788959211292218,-1.685045131541163
1593698400000,9191.86,-1.6882480534006072,0.0030167326763895497,0.0030167326763895774,-1.6882480534006068
1593702000000,9043.48,-1.6974941535076948,0.0005278653173532155,0.0005278653173532155,-1.6974941535076944
1593705600000,9039.1,-1.697767087315951,0.00045439693190654773,0.00045439693190652,-1.6977670873159507
1593709200000,9062.59,-1.6963033395634541,0.000848408889473351,0.000848408889473351,-1.6963033395634537
1593712800000,9064.04,-1.6962129847639171,0.0008727306152490899,0.0008727306152491177,-1.696212984763917
1593716400000,9052.24,-1.6969482858911826,0.0006748020882466066,0.0006748020882466066,-1.6969482858911822
1593720000000,9076.14,-1.695458989540196,0.0010756912234465288,0.0010756912234465843,-1.6954589895401957
1593723600000,9124.49,-1.6924461243280537,0.0018866949760372176,0.0018866949760372176,-1.6924461243280533
1593727200000,9100.62,-1.6939335512693945,0.001486309048956802,0.001486309048956802,-1.693933551269394
1593730800000,9086.99,-1.6947828863850412,0.0012576848266649399,0.0012576848266648843,-1.6947828863850405
1593734400000,9095.1,-1.6942775226441833,0.0013937187549691865,0.001393718754969131,-1.6942775226441826
1593738000000,9106.17,-1.6935877104849606,0.0015794025510638965,0.0015794025510638687,-1.69358771048496
1593741600000,9093.85,-1.6943554147127495,0.0013727517499901032,0.0013727517499900754,-1.694355414712749
1593745200000,9092.27,-1.6944538702874172,0.0013462494556965576,0.0013462494556965021,-1.6944538702874168
1593748800000,9094.91,-1.6942893622386053,0.0013905317702123665,0.0013905317702123665,-1.6942893622386048
1593752400000,9108.1,-1.6934674451310943,0.0016117756067515754,0.0016117756067515754,-1.6934674451310938
1593756000000,9094.07,-1.6943417057086818,0.0013764419428664298,0.001376441942866402,-1.6943417057086811
1593759600000,9104.4,-1.6936980056540503,0.0015497132720135032,0.001549713272013531,-1.69369800565405
1593763200000,9098.8,-1.694046962121227,0.001455781089707231,0.001455781089707231,-1.6940469621212266
1593766800000,9076.69,-1.6954247170300267,0.0010849167056373454,0.0010849167056373732,-1.6954247170300263
1593770400000,9076.06,-1.6954639746325844,0.0010743493351278721,0.0010743493351278444,-1.695463974632584
1593774000000,9097.04,-1.6941566341537684,0.0014262595466967287,0.0014262595466966732,-1.694156634153768
1593777600000,9106.99,-1.6935366132879812,0.001593156906330162,0.0015931569063301065,-1.6935366132879806
1593781200000,9088.62,-1.6946813151276303,0.0012850258011576632,0.001285025801157691,-1.6946813151276303
