,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,2.3616,-0.7220301106523714,0.11143695014662758,0.11143695014662756,-0.7220301106523712
1593565200000,2.3596,-0.723251350656109,0.11129105207102319,0.11129105207102316,-0.7232513506561086
1593568800000,2.3666,-0.718977010643028,0.11180169533563855,0.11180169533563851,-0.7189770106430275
1593572400000,2.3715,-0.7159849726338713,0.11215914562086929,0.11215914562086926,-0.7159849726338708
1593576000000,2.3739,-0.7145194846293865,0.11233422331159454,0.1123342233115945,-0.7145194846293861
1593579600000,2.3813,-0.7100008966155581,0.11287404619133076,0.11287404619133072,-0.7100008966155577
1593583200000,2.3728,-0.7151911666314422,0.11225397937001211,0.11225397937001208,-0.7151911666314418
1593586800000,2.3642,-0.720442498647513,0.11162661764491327,0.11162661764491325,-0.7204424986475125
1593590400000,2.3776,-0.7122601906224721,0.11260413475146266,0.11260413475146264,-0.7122601906224717
1593594000000,2.3737,-0.7146416086297602,0.1123196335040341,0.11231963350403407,-0.7146416086297599
1593597600000,2.3756,-0.7134814306262097,0.11245823667585825,0.11245823667585823,-0.7134814306262094
1593601200000,2.371,-0.7162902826348058,0.11212267110196819,0.11212267110196815,-0.7162902826348052
1593604800000,2.3803,-0.7106115166174267,0.11280109715352857,0.11280109715352854,-0.7106115166174264
1593608400000,2.3878,-0.7060318666034116,0.113348214937045,0.11334821493704497,-0.7060318666034111
1593612000000,2.3892,-0.7051769986007952,0.11345034358996808,0.11345034358996806,-0.7051769986007949
1593615600000,2.3986,-0.6994371705832295,0.11413606454530867,0.11413606454530864,-0.6994371705832292
1593619200000,2.3939,-0.7023070845920125,0.11379320406763835,0.11379320406763833,-0.7023070845920122
1593622800000,2.398,-0.6998035425843507,0.11409229512262736,0.11409229512262732,-0.6998035425843503
1593626400000,2.3923,-0.7032840765950024,0.11367648560715488,0.11367648560715483,-0.7032840765950018
1593630000000,2.3774,-0.712382314622846,0.11258954494390222,0.11258954494390219,-0.7123823146228455
1593633600000,2.3843,-0.7081690366099519,0.11309289330473732,0.1130928933047373,-0.7081690366099517
