,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,224.91,-1.4861439589997045,9.301158535002935e-05,9.301158535002241e-05,-1.4861439589997043
1593565200000,224.84,-1.4861985282437185,7.787016447909773e-05,7.787016447907691e-05,-1.4861985282437182
1593568800000,225.29,-1.4858477259607716,0.00017520787007795774,0.00017520787007796468,-1.4858477259607714
1593572400000,225.26,-1.4858711127796347,0.00016871868970470133,0.0001687186897046944,-1.4858711127796345
1593576000000,225.51,-1.485676222622442,0.00022279519281517834,0.0002227951928151506,-1.4856762226224418
1593579600000,225.41,-1.485754178685319,0.00020116459157099031,0.00020116459157099031,-1.4857541786853188
1593583200000,225.09,-1.4860036380865258,0.00013194666758957474,0.0001319466675895331,-1.4860036380865256
1593586800000,225.48,-1.485699609441305,0.00021630601244192194,0.0002163060124419358,-1.4856996094413049
1593590400000,227.78,-1.483906619995132,0.0007138098410583438,0.0007138098410583438,-1.4839066199951318
1593594000000,227.57,-1.484070327727174,0.000668385578445542,0.0006683855784455073,-1.4840703277271736
1593597600000,227.39,-1.4842106486403528,0.0006294504962059896,0.0006294504962059966,-1.4842106486403526
1593601200000,227.56,-1.4840781233334617,0.0006662225183211232,0.0006662225183211024,-1.4840781233334615
1593604800000,227.65,-1.4840079628768723,0.0006856900594408993,0.0006856900594409132,-1.484007962876872
1593608400000,228.35,-1.4834622704367328,0.0008371042681502364,0.0008371042681502017,-1.4834622704367324
1593612000000,228.53,-1.483321949523554,0.0008760393503897887,0.0008760393503898234,-1.483321949523554
1593615600000,229.42,-1.4826281405639479,0.0010685517014630969,0.001068551701463083,-1.4826281405639476
1593619200000,231.62,-1.480913107180652,0.0015444249288353237,0.0015444249288352752,-1.4809131071806516
1593622800000,232.45,-1.4802660718587721,0.001723958919162119,0.0017239589191621052,-1.480266071858772
1593626400000,231.81,-1.4807649906611855,0.001585523071199288,0.0015855230711993018,-1.4807649906611853
1593630000000,231.26,-1.4811937490070095,0.001466554764356233,0.0014665547643561982,-1.4811937490070093
1593633600000,231.36,-1.4811157929441323,0.001488185365600428,0.001488185365600414,-1.4811157929441323
1593637200000,231.16,-1.4812717050698865,0.001444924163112038,0.001444924163112038,-1.4812717050698863
1593640800000,231.03,-1.4813730479516267,0.0014168043814945935,0.0014168043814946074,-1.4813730479516265
1593644400000,231.04,-1.4813652523453391,0.0014189674416190054,0.0014189674416190123,-1.481365252345339
1593648000000,230.65,-1.4816692809905596,0.0013346080967666651,0.0013346080967666651,-1.4816692809905594
1593651600000,231.53,-1.4809832676372414,0.0015249573877155545,0.0015249573877155198,-1.480983267637241
1593655200000,231.05,-1.4813574567390513,0.0014211305017434311,0.0014211305017434173,-1.4813574567390513
