,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,4.5327,-1.6360181196497043,3.1387450878647694e-05,3.138745087866157e-05,-1.6360181196497043
1593565200000,4.5312,-1.6361815489148797,0.0,0.0,-1.6361815489148797
1593568800000,4.542,-1.635004858205618,0.00022598964632619678,0.00022598964632619678,-1.635004858205618
1593572400000,4.5344,-1.6358328998158391,6.695989520776047e-05,6.695989520777434e-05,-1.6358328998158391
1593576000000,4.5659,-1.6324008852471592,0.0007260963636591955,0.0007260963636592233,-1.632400885247159
1593579600000,4.5725,-1.6316817964803882,0.0008642011475252093,0.0008642011475252231,-1.631681796480388
1593583200000,4.5516,-1.6339589109084964,0.00042686933194949206,0.0004268693319495198,-1.6339589109084962
1593586800000,4.5446,-1.6347215808126476,0.0002803945611825204,0.0002803945611825065,-1.6347215808126476
1593590400000,4.5949,-1.6292412527871047,0.0013329204139795603,0.0013329204139795325,-1.6292412527871047
1593594000000,4.6123,-1.627345473311072,0.0016970148441717847,0.0016970148441717847,-1.627345473311072
1593597600000,4.589,-1.6298840745634606,0.0012094631071902506,0.0012094631071902229,-1.6298840745634606
1593601200000,4.5987,-1.628827231981994,0.0014124352895387715,0.0014124352895387715,-1.628827231981994
1593604800000,4.5838,-1.6304506293494014,0.0011006532774776312,0.0011006532774776034,-1.6304506293494014
1593608400000,4.6248,-1.625983562767945,0.0019585769348270943,0.0019585769348270943,-1.625983562767945
1593612000000,4.6341,-1.6249703013238586,0.002153179130274671,0.002153179130274685,-1.6249703013238583
1593615600000,4.7023,-1.617539717400558,0.003580261896890133,0.0035802618968901467,-1.617539717400558
1593619200000,4.7133,-1.6163412361226062,0.0038104365366668225,0.0038104365366668502,-1.616341236122606
1593622800000,4.6903,-1.6188471515219598,0.003329162289861007,0.0033291622898610207,-1.6188471515219598
1593626400000,4.6956,-1.618269701451674,0.0034400646162988796,0.0034400646162988657,-1.618269701451674
1593630000000,4.6888,-1.619010580787135,0.003297774838982373,0.0032977748389824146,-1.6190105807871351
1593633600000,4.715,-1.616156016288741,0.003846008980995949,0.003846008980995963,-1.616156016288741
1593637200000,4.709,-1.616809733349442,0.003720459177481386,0.0037204591774813722,-1.616809733349442
1593640800000,4.6977,-1.6180409004804286,0.003484007047528978,0.003484007047528992,-1.6180409004804286
1593644400000,4.6977,-1.6180409004804286,0.003484007047528978,0.003484007047528992,-1.6180409004804286
1593648000000,4.746,-1.612778478141786,0.004494682965821173,0.004494682965821173,-1.612778478141786
1593651600000,4.7997,-1.606927710448513,0.005618353707276438,0.0056183537072764245,-1.606927710448513
1593655200000,4.8047,-1.606382946231262,0.005722978543538593,0.005722978543538593,-1.606382946231262
1593658800000,4.8053,-1.606317574525192,0.00573553352389003,0.005735533523890002,-1.6063175745251916
1593662400000,4.8251,-1.604160308224879,0.006149847875488071,0.006149847875488057,-1.6041603082248788
1593666000000,4.7463,-1.6127457922887511,0.0045009604559968774,0.004500960455996905,-1.6127457922887511
1593669600000,4.7628,-1.6109480703718235,0.004846222415661933,0.004846222415661905,-1.6109480703718233
1593673200000,4.7707,-1.6100873429085674,0.005011529656956087,0.00501152965695606,-1.6100873429085671
1593676800000,4.761,-1.611144185490034,0.004808557474607553,0.004808557474607511,-1.6111441854900337
