,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,0.01882,-1.119983301038607,0.0024599137990770122,0.002459913799077007,-1.1199833010386073
1593565200000,0.01873,-1.1201017746240631,0.0024287317931732198,0.002428731793173211,-1.1201017746240634
1593568800000,0.01849,-1.120417704185279,0.002345579777429771,0.0023455797774297737,-1.1204177041852792
1593572400000,0.0189,-1.1198779911848684,0.0024876311376581623,0.002487631137658153,-1.1198779911848686
1593576000000,0.01899,-1.1197595175994126,0.002518813143561955,0.0025188131435618932,-1.1197595175994126
1593579600000,0.01902,-1.1197200264042604,0.002529207145529886,0.0025292071455298992,-1.1197200264042606
1593583200000,0.01888,-1.119904318648303,0.002480701803012875,0.0024807018030128525,-1.1199043186483033
1593586800000,0.01911,-1.1196015528188046,0.0025603891514336787,0.0025603891514336397,-1.1196015528188046
1593590400000,0.0191,-1.119614716550522,0.0025569244841110355,0.0025569244841109895,-1.119614716550522
1593594000000,0.01916,-1.119535734160218,0.0025777124880468974,0.0025777124880468905,-1.1195357341602181
1593597600000,0.0191,-1.119614716550522,0.0025569244841110355,0.0025569244841109895,-1.119614716550522
1593601200000,0.01925,-1.1194172605747619,0.0026088944939506907,0.0026088944939506864,-1.119417260574762
1593604800000,0.01922,-1.1194567517699139,0.00259850049198276,0.002598500491982736,-1.119456751769914
1593608400000,0.01952,-1.119061839818394,0.00270244051166207,0.0027024405116620187,-1.119061839818394
1593612000000,0.01936,-1.1192724595258712,0.0026470058344997705,0.0026470058344997827,-1.1192724595258714
1593615600000,0.01923,-1.1194435880381965,0.0026019651593054034,0.002601965159305386,-1.1194435880381968
1593619200000,0.01928,-1.11937776937961,0.0026192884959186213,0.0026192884959185814,-1.11937776937961
1593622800000,0.01889,-1.119891154916586,0.0024841664703355183,0.002484166470335447,-1.119891154916586
1593626400000,0.01897,-1.119785845062847,0.0025118838089166684,0.002511883808916704,-1.1197858450628473
1593630000000,0.01872,-1.1201149383557805,0.0024252671258505757,0.002425267125850561,-1.1201149383557807
1593633600000,0.01878,-1.1200359559654764,0.0024460551297864385,0.0024460551297864064,-1.1200359559654764
1593637200000,0.01857,-1.1203123943315405,0.0023732971160109204,0.002373297116010864,-1.1203123943315405
