,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,0.8714,-0.916718007805231,0.0007577050146577529,0.0007577050146577446,-0.916718007805231
1593565200000,0.8697,-0.9167433533555958,0.0007511129034759815,0.0007511129034759867,-0.9167433533555958
1593568800000,0.8756,-0.916655389386683,0.0007739914069891892,0.0007739914069891662,-0.9166553893866829
1593572400000,0.8912,-0.9164228066892186,0.0008344837213630934,0.0008344837213630774,-0.9164228066892185
1593576000000,0.8832,-0.9165420798674054,0.0008034620216841679,0.0008034620216841593,-0.9165420798674054
1593579600000,0.8897,-0.9164451704101286,0.000828667152673295,0.0008286671526732958,-0.9164451704101286
1593583200000,0.8941,-0.9163795701621258,0.0008457290874967038,0.0008457290874967216,-0.9163795701621259
1593586800000,0.8828,-0.9165480435263148,0.000801910936700222,0.0008019109367002064,-0.9165480435263147
1593590400000,0.8711,-0.9167224805494131,0.0007565417009197935,0.0007565417009197939,-0.9167224805494131
1593594000000,0.8698,-0.9167418624408685,0.000751500674721968,0.0007515006747219333,-0.9167418624408684
1593597600000,0.8687,-0.9167582625028692,0.0007472351910161159,0.0007472351910161046,-0.9167582625028692
1593601200000,0.8413,-0.9171667731381592,0.0006409858696157962,0.0006409858696157789,-0.9171667731381591
1593604800000,0.8315,-0.9173128827814381,0.0006029842875091124,0.0006029842875091007,-0.917312882781438
1593608400000,0.8295,-0.9173427010759847,0.0005952288625893812,0.000595228862589392,-0.9173427010759846
1593612000000,0.8415,-0.9171637913087044,0.0006417614121077696,0.000641761412107783,-0.9171637913087044
1593615600000,0.8584,-0.9169118267197847,0.0007072947526794993,0.0007072947526794993,-0.9169118267197847
1593619200000,0.8617,-0.9168626265337827,0.000720091203797056,0.0007200912037970408,-0.9168626265337826
1593622800000,0.8606,-0.9168790265957834,0.0007158257200912039,0.0007158257200911844,-0.9168790265957832
1593626400000,0.8491,-0.9170504817894269,0.0006712320268027483,0.0006712320268027483,-0.9170504817894269
1593630000000,0.8487,-0.9170564454483363,0.0006696809418188024,0.0006696809418187954,-0.9170564454483363
1593633600000,0.8457,-0.9171011728901564,0.0006580478044392051,0.0006580478044392046,-0.9171011728901564
1593637200000,0.8496,-0.9170430272157902,0.0006731708830326815,0.0006731708830326755,-0.9170430272157902
