,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,0.008737,-1.1518193848469056,0.00013478438349623367,0.00013478438349620592,-1.1518193848469058
1593565200000,0.008744,-1.1516825031500078,0.00016174126019548318,0.0001617412601954693,-1.151682503150008
1593568800000,0.008794,-1.150704776743595,0.0003542903794758051,0.00035429037947576347,-1.150704776743595
1593572400000,0.008728,-1.15199537560006,0.00010012554202577101,0.00010012554202573631,-1.1519953756000603
1593576000000,0.008778,-1.151017649193647,0.00029267466130609987,0.000292674661306086,-1.1510176491936472
1593579600000,0.008743,-1.151702057678136,0.00015789027780987314,0.00015789027780985232,-1.1517020576781363
1593583200000,0.00871,-1.1523473571063685,3.080785908485956e-05,3.080785908485262e-05,-1.1523473571063687
1593586800000,0.008702,-1.1525037933313946,0.0,0.0,-1.1525037933313949
1593590400000,0.008785,-1.1508807674967492,0.0003196315380053494,0.0003196315380053494,-1.1508807674967494
1593594000000,0.00879,-1.150782994856108,0.0003388864499333788,0.00033888644993335104,-1.1507829948561081
1593597600000,0.008762,-1.1513305216436993,0.00023105894313640157,0.000231058943136353,-1.1513305216436993
1593601200000,0.008761,-1.1513500761718274,0.00022720796075079153,0.00022720796075076377,-1.1513500761718276
1593604800000,0.008805,-1.1504896769341841,0.0003966511857174809,0.0003966511857174393,-1.1504896769341844
1593608400000,0.008902,-1.148592887705743,0.0007701964771213154,0.0007701964771212877,-1.1485928877057432
1593612000000,0.008926,-1.1481235790306648,0.0008626200543758733,0.0008626200543758455,-1.148123579030665
1593615600000,0.009136,-1.1440171281237306,0.0016713263553532545,0.0016713263553532198,-1.1440171281237308
1593619200000,0.009353,-1.1397737955198983,0.0025069895330298783,0.0025069895330298575,-1.1397737955198985
1593622800000,0.009412,-1.138620078360331,0.00273419749378067,0.002734197493780649,-1.1386200783603313
1593626400000,0.009354,-1.13975424099177,0.0025108405154154814,0.0025108405154154745,-1.1397542409917705
1593630000000,0.009241,-1.1419639026702635,0.0020756795058419417,0.002075679505841893,-1.1419639026702635
1593633600000,0.009251,-1.1417683573889807,0.0021141893296980144,0.0021141893296979797,-1.141768357388981
1593637200000,0.009398,-1.1388938417541268,0.0026802837403821778,0.00268028374038215,-1.138893841754127
1593640800000,0.00945,-1.1378770062914574,0.0028805348244337198,0.002880534824433678,-1.1378770062914574
