,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,0.0665,-1.357686850997793,0.0009415543955359346,0.000941554395536004,-1.357686850997793
1593565200000,0.06633,-1.3589207399820489,0.0007061657966519475,0.000706165796652003,-1.3589207399820489
1593568800000,0.06624,-1.3595739753266547,0.0005815483031251234,0.0005815483031251789,-1.359573975326655
1593572400000,0.06627,-1.359356230211786,0.0006230874676340648,0.0006230874676341203,-1.3593562302117863
1593576000000,0.06641,-1.3583400863423991,0.0008169369020091105,0.0008169369020091799,-1.3583400863423991
1593579600000,0.0665,-1.357686850997793,0.0009415543955359346,0.000941554395536004,-1.357686850997793
1593583200000,0.06638,-1.3585578314572677,0.0007753977375001692,0.0007753977375002385,-1.358557831457268
1593586800000,0.0665,-1.357686850997793,0.0009415543955359346,0.000941554395536004,-1.357686850997793
1593590400000,0.06717,-1.3528238767657264,0.0018692624029021943,0.0018692624029023053,-1.3528238767657268
1593594000000,0.06705,-1.3536948572252012,0.0017031057448664427,0.0017031057448664844,-1.3536948572252014
1593597600000,0.067,-1.3540577657499822,0.001633873804018221,0.0016338738040183043,-1.3540577657499826
1593601200000,0.06698,-1.3542029291598947,0.0016061810276789268,0.0016061810276789545,-1.354202929159895
1593604800000,0.0675,-1.3504286805021712,0.0023261932125005214,0.0023261932125006046,-1.3504286805021712
1593608400000,0.06832,-1.3444769806957615,0.003461597042411488,0.003461597042411557,-1.3444769806957615
1593612000000,0.0683,-1.3446221441056738,0.0034339042660721936,0.003433904266072263,-1.344622144105674
1593615600000,0.06839,-1.3439689087610678,0.0035585217595990176,0.003558521759599087,-1.343968908761068
1593619200000,0.06913,-1.3385978625943078,0.004583154484152807,0.004583154484152863,-1.338597862594308
1593622800000,0.0688,-1.340993058857863,0.004126223674554494,0.004126223674554563,-1.3409930588578631
1593626400000,0.06874,-1.3414285490876003,0.004043145345536611,0.004043145345536681,-1.3414285490876006
1593630000000,0.06736,-1.3514448243715584,0.0021323437781254756,0.0021323437781254895,-1.3514448243715584
1593633600000,0.06785,-1.3478883208287038,0.002810816798438115,0.0028108167984381427,-1.3478883208287038
1593637200000,0.06794,-1.3472350854840978,0.002935434291964939,0.0029354342919649667,-1.347235085484098
1593640800000,0.0682,-1.3453479611552361,0.0032954403843757363,0.003295440384375792,-1.3453479611552364
1593644400000,0.06831,-1.3445495624007178,0.0034477506542418407,0.0034477506542418546,-1.3445495624007178
1593648000000,0.06975,-1.3340977968870222,0.005441630550670873,0.005441630550670928,-1.3340977968870225
1593651600000,0.07017,-1.331049365278861,0.006023178853795982,0.006023178853796052,-1.3310493652788613
1593655200000,0.06997,-1.3325009993779855,0.005746251090403068,0.0057462510904031094,-1.3325009993779857
