,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,0.17448,-1.3894842377020693,0.00043062661839114724,0.0004306266183911056,-1.3894842377020693
1593565200000,0.17489,-1.3883292948055692,0.0006629383467337407,0.0006629383467337546,-1.3883292948055694
1593568800000,0.17521,-1.3874278759595207,0.0008442548176352815,0.0008442548176352815,-1.3874278759595207
1593572400000,0.17572,-1.3859912396736305,0.0011332279431345987,0.0011332279431345849,-1.3859912396736307
1593576000000,0.17559,-1.3863574410798376,0.001059568126830862,0.0010595681268308899,-1.386357441079838
1593579600000,0.17559,-1.3863574410798376,0.001059568126830862,0.0010595681268308899,-1.386357441079838
1593583200000,0.17538,-1.3869489971975573,0.0009405791928017299,0.000940579192801716,-1.3869489971975575
1593586800000,0.17518,-1.3875123839763377,0.0008272563984882686,0.0008272563984882408,-1.387512383976338
1593590400000,0.17616,-1.3847517887603136,0.001382538090624233,0.001382538090624219,-1.3847517887603138
1593594000000,0.17602,-1.3851461595054597,0.0013032121346048114,0.0013032121346048253,-1.38514615950546
1593597600000,0.17565,-1.3861884250462038,0.0010935649651249019,0.0010935649651248602,-1.3861884250462038
1593601200000,0.17567,-1.3861320863683255,0.0011048972445562438,0.0011048972445562577,-1.3861320863683257
1593604800000,0.17528,-1.3872306905869474,0.0008839177956449923,0.0008839177956450062,-1.3872306905869476
1593608400000,0.17655,-1.3836531845416917,0.0016035175395354845,0.0016035175395354706,-1.383653184541692
1593612000000,0.17672,-1.3831743057797283,0.001699841914701919,0.001699841914701905,-1.3831743057797286
1593615600000,0.17701,-1.3823573949504966,0.0018641599664564468,0.0018641599664564468,-1.3823573949504968
1593619200000,0.17767,-1.3804982185805212,0.0022381251876908703,0.0022381251876908426,-1.3804982185805215
1593622800000,0.17747,-1.3810616053593017,0.002124802393377395,0.002124802393377423,-1.3810616053593017
1593626400000,0.17727,-1.381624992138082,0.002011479599063948,0.002011479599063948,-1.3816249921380823
1593630000000,0.17627,-1.3844419260319842,0.0014448656274966415,0.0014448656274966276,-1.3844419260319845
1593633600000,0.17659,-1.3835405071859355,0.0016261820983981684,0.00162618209839821,-1.383540507185936
1593637200000,0.17718,-1.3818785161885334,0.001960484341622881,0.001960484341622881,-1.3818785161885334
1593640800000,0.17688,-1.382723596356704,0.0017905001501526963,0.0017905001501526963,-1.3827235963567042
1593644400000,0.1765,-1.3837940312363868,0.0015751868409571018,0.001575186840957088,-1.383794031236387
1593648000000,0.17665,-1.3833714911523016,0.0016601789366922082,0.0016601789366921804,-1.3833714911523014
1593651600000,0.17704,-1.3822728869336798,0.0018811583856034597,0.001881158385603432,-1.38227288693368
1593655200000,0.17686,-1.382779935034582,0.0017791678707213404,0.0017791678707213543,-1.3827799350345822
1593658800000,0.17696,-1.3824982416451919,0.001835829267878078,0.001835829267878064,-1.382498241645192
1593662400000,0.17696,-1.3824982416451919,0.001835829267878078,0.001835829267878064,-1.382498241645192
1593666000000,0.17661,-1.3834841685080577,0.0016375143778295104,0.0016375143778294965,-1.3834841685080579
1593669600000,0.1767,-1.3832306444576064,0.001688509635270577,0.001688509635270563,-1.3832306444576066
1593673200000,0.17624,-1.3845264340488013,0.0014278672083496147,0.0014278672083496424,-1.3845264340488013
1593676800000,0.1762,-1.3846391114045573,0.0014052026494869169,0.0014052026494869585,-1.3846391114045578
1593680400000,0.17582,-1.3857095462842404,0.0011898893402913502,0.0011898893402912947,-1.3857095462842404
1593684000000,0.17599,-1.385230667522277,0.0012862137154577846,0.0012862137154577846,-1.385230667522277
1593687600000,0.17597,-1.385287006200155,0.0012748814360264288,0.0012748814360264427,-1.385287006200155
1593691200000,0.17653,-1.3837095232195697,0.0015921852601041286,0.0015921852601041286,-1.38370952321957
1593694800000,0.17697,-1.3824700723062529,0.001841495407593749,0.0018414954075937073,-1.3824700723062529
