,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,51.22,-1.3436002970841086,0.0028852251109701965,0.0028852251109701965,-1.3436002970841083
1593565200000,51.47,-1.3388811528077973,0.0036778693722257505,0.0036778693722257227,-1.3388811528077968
1593568800000,51.58,-1.3368047293262202,0.004026632847178191,0.004026632847178191,-1.3368047293262197
1593572400000,51.28,-1.3424677024577938,0.003075459733671543,0.003075459733671543,-1.3424677024577936
1593576000000,51.76,-1.333406945447276,0.004597336715282174,0.004597336715282202,-1.3334069454472757
1593579600000,52.04,-1.3281215038578071,0.005485098287888401,0.005485098287888401,-1.328121503857807
1593583200000,51.51,-1.3381260897235874,0.0038046924540266203,0.003804692454026648,-1.3381260897235872
1593586800000,51.49,-1.3385036212656924,0.0037412809131261993,0.0037412809131261715,-1.338503621265692
1593590400000,51.77,-1.3332181796762237,0.004629042485732426,0.004629042485732371,-1.333218179676223
1593594000000,51.93,-1.3301979273393845,0.005136334812935961,0.005136334812935933,-1.3301979273393838
1593597600000,51.85,-1.3317080535078039,0.004882688649334194,0.004882688649334194,-1.3317080535078034
1593601200000,51.6,-1.3364271977841151,0.00409004438807864,0.0040900443880786674,-1.336427197784115
1593604800000,51.54,-1.3375597924104299,0.0038998097653772934,0.003899809765377321,-1.3375597924104297
1593608400000,51.74,-1.333784476989381,0.004533925174381753,0.0045339251743817255,-1.3337844769893805
1593612000000,52.07,-1.3275552065446496,0.0055802155992390745,0.005580215599239102,-1.3275552065446494
1593615600000,52.22,-1.324723719978863,0.006055802155992385,0.006055802155992385,-1.3247237199788628
1593619200000,52.26,-1.3239686568946532,0.006182625237793282,0.006182625237793282,-1.323968656894653
1593622800000,52.35,-1.322269764955181,0.006467977171845274,0.006467977171845302,-1.322269764955181
1593626400000,52.18,-1.325478783063073,0.005928979074191515,0.005928979074191487,-1.3254787830630725
1593630000000,52.06,-1.3277439723157023,0.00554850982878885,0.00554850982878885,-1.3277439723157018
1593633600000,51.77,-1.3332181796762237,0.004629042485732426,0.004629042485732371,-1.333218179676223
1593637200000,51.84,-1.3318968192788563,0.004850982878883969,0.004850982878883969,-1.331896819278856
1593640800000,51.67,-1.3351058373867482,0.004311984781230183,0.004311984781230183,-1.3351058373867477
1593644400000,51.74,-1.333784476989381,0.004533925174381753,0.0045339251743817255,-1.3337844769893805
1593648000000,51.74,-1.333784476989381,0.004533925174381753,0.0045339251743817255,-1.3337844769893805
1593651600000,51.92,-1.3303866931104367,0.005104629042485737,0.005104629042485737,-1.3303866931104364
1593655200000,52.0,-1.328876566942017,0.005358275206087504,0.005358275206087504,-1.3288765669420168
1593658800000,51.96,-1.329631630026227,0.005231452124286634,0.005231452124286606,-1.3296316300262265
1593662400000,52.04,-1.3281215038578071,0.005485098287888401,0.005485098287888401,-1.328121503857807
1593666000000,52.68,-1.3160404945104502,0.007514267596702595,0.007514267596702567,-1.3160404945104498
1593669600000,52.46,-1.3201933414736042,0.006816740646797714,0.0068167406467976865,-1.3201933414736038
1593673200000,52.68,-1.3160404945104502,0.007514267596702595,0.007514267596702567,-1.3160404945104498
1593676800000,52.48,-1.3198158099314992,0.006880152187698163,0.006880152187698163,-1.319815809931499
1593680400000,52.64,-1.31679555759466,0.007387444514901725,0.007387444514901698,-1.3167955575946595
1593684000000,52.14,-1.3262338461472827,0.005802155992390617,0.005802155992390617,-1.3262338461472825
1593687600000,51.85,-1.3317080535078039,0.004882688649334194,0.004882688649334194,-1.3317080535078034
1593691200000,52.4,-1.321325936099919,0.006626506024096396,0.006626506024096368,-1.3213259360999186
1593694800000,52.41,-1.3211371703288666,0.006658211794546592,0.006658211794546565,-1.3211371703288661
1593698400000,52.13,-1.3264226119183349,0.005770450221940421,0.0057704502219404485,-1.3264226119183347
1593702000000,50.66,-1.3541711802630463,0.00110970196575777,0.0011097019657577423,-1.3541711802630458
1593705600000,50.64,-1.3545487118051511,0.0010462904248573213,0.0010462904248573213,-1.3545487118051507
1593709200000,50.96,-1.3485082071314727,0.002060875079264446,0.0020608750792643904,-1.348508207131472
1593712800000,50.97,-1.34831944136042,0.0020925808497146425,0.0020925808497146425,-1.3483194413604198
1593716400000,50.78,-1.3519059910104168,0.0014901712111604348,0.001490171211160407,-1.3519059910104163
1593720000000,51.31,-1.3419014051446365,0.003170577045022216,0.003170577045022188,-1.341901405144636
1593723600000,51.46,-1.3390699185788497,0.003646163601775526,0.003646163601775526,-1.3390699185788493
1593727200000,51.35,-1.3411463420604266,0.0032974001268230857,0.0032974001268230857,-1.3411463420604264
1593730800000,51.26,-1.3428452339998986,0.003012048192771094,0.003012048192771122,-1.3428452339998984
1593734400000,51.31,-1.3419014051446365,0.003170577045022216,0.003170577045022188,-1.341901405144636
1593738000000,51.34,-1.341335107831479,0.003265694356372889,0.003265694356372889,-1.3413351078314786
1593741600000,51.16,-1.3447328917104233,0.0026949904882688502,0.002694990488268878,-1.344732891710423
1593745200000,51.13,-1.3452991890235806,0.002599873176918205,0.0025998731769182326,-1.3452991890235804
1593748800000,51.04,-1.3469980809630526,0.002314521242866213,0.002314521242866241,-1.3469980809630524
1593752400000,51.44,-1.3394474501209546,0.0035827520608750774,0.0035827520608750774,-1.3394474501209543
1593756000000,51.13,-1.3452991890235806,0.002599873176918205,0.0025998731769182326,-1.3452991890235804
1593759600000,51.13,-1.3452991890235806,0.002599873176918205,0.0025998731769182326,-1.3452991890235804
1593763200000,51.29,-1.3422789366867414,0.003107165504121767,0.003107165504121767,-1.342278936686741
1593766800000,51.02,-1.347375612505158,0.0022511097019657644,0.0022511097019657367,-1.3473756125051572
1593770400000,51.19,-1.344166594397266,0.0027901077996195234,0.0027901077996195234,-1.3441665943972656
1593774000000,51.14,-1.3451104232525282,0.0026315789473684292,0.0026315789473684292,-1.345110423252528
1593777600000,51.06,-1.3466205494209478,0.002377932783766662,0.002377932783766662,-1.3466205494209476
1593781200000,51.14,-1.3451104232525282,0.0026315789473684292,0.0026315789473684292,-1.345110423252528
1593784800000,51.07,-1.3464317836498954,0.0024096385542168863,0.0024096385542168863,-1.346431783649895
1593788400000,51.27,-1.3426564682288464,0.0030437539632213184,0.0030437539632212907,-1.342656468228846
1593792000000,51.39,-1.340391278976217,0.003424223208623983,0.0034242232086239555,-1.3403912789762165
1593795600000,51.39,-1.340391278976217,0.003424223208623983,0.0034242232086239555,-1.3403912789762165
1593799200000,51.5,-1.3383148554946398,0.0037729866835764236,0.0037729866835764236,-1.3383148554946394
1593802800000,51.22,-1.3436002970841086,0.0028852251109701965,0.0028852251109701965,-1.3436002970841083
1593806400000,51.29,-1.3422789366867414,0.003107165504121767,0.003107165504121767,-1.342278936686741
1593810000000,51.58,-1.3368047293262202,0.004026632847178191,0.004026632847178191,-1.3368047293262197
1593813600000,51.31,-1.3419014051446365,0.003170577045022216,0.003170577045022188,-1.341901405144636
1593817200000,51.12,-1.3454879547946335,0.0025681674064679805,0.002568167406467925,-1.3454879547946328
1593820800000,51.13,-1.3452991890235806,0.002599873176918205,0.0025998731769182326,-1.3452991890235804
1593824400000,51.16,-1.3447328917104233,0.0026949904882688502,0.002694990488268878,-1.344732891710423
1593828000000,51.42,-1.3398249816630594,0.0035193405199746564,0.0035193405199746564,-1.339824981663059
1593831600000,51.4,-1.3402025132051645,0.00345592897907418,0.00345592897907418,-1.3402025132051643
1593835200000,51.29,-1.3422789366867414,0.003107165504121767,0.003107165504121767,-1.342278936686741
1593838800000,51.38,-1.340580044747269,0.003392517438173759,0.0033925174381737866,-1.3405800447472689
1593842400000,51.38,-1.340580044747269,0.003392517438173759,0.0033925174381737866,-1.3405800447472689
1593846000000,51.23,-1.3434115313130561,0.002916930881420421,0.002916930881420421,-1.343411531313056
1593849600000,51.23,-1.3434115313130561,0.002916930881420421,0.002916930881420421,-1.343411531313056
1593853200000,51.12,-1.3454879547946335,0.0025681674064679805,0.002568167406467925,-1.3454879547946328
1593856800000,51.05,-1.3468093151920004,0.00234622701331641,0.00234622701331641,-1.3468093151920002
1593860400000,51.0,-1.3477531440472628,0.0021876981610653157,0.002187698161065288,-1.3477531440472623
1593864000000,50.91,-1.3494520359867348,0.001902346227013324,0.0019023462270132963,-1.3494520359867344
1593867600000,50.93,-1.34907450444463,0.0019657577679137728,0.001965757767913745,-1.3490745044446295
1593871200000,51.03,-1.3471868467341053,0.002282815472415989,0.002282815472415989,-1.3471868467341048
1593874800000,50.81,-1.3513396936972593,0.001585288522511108,0.001585288522511108,-1.3513396936972588
1593878400000,50.69,-1.3536048829498888,0.0012048192771084432,0.0012048192771084432,-1.3536048829498883
1593882000000,51.62,-1.3360496662420105,0.004153455928979061,0.004153455928979061,-1.33604966624201
1593885600000,51.41,-1.340013747434112,0.0034876347495244042,0.0034876347495244042,-1.3400137474341116
1593889200000,51.47,-1.3388811528077973,0.0036778693722257505,0.0036778693722257227,-1.3388811528077968
1593892800000,51.48,-1.3386923870367446,0.003709575142675975,0.003709575142675975,-1.3386923870367444
1593896400000,51.4,-1.3402025132051645,0.00345592897907418,0.00345592897907418,-1.3402025132051643
1593900000000,51.45,-1.3392586843499021,0.0036144578313253295,0.0036144578313253017,-1.3392586843499017
1593903600000,51.45,-1.3392586843499021,0.0036144578313253295,0.0036144578313253017,-1.3392586843499017
1593907200000,51.54,-1.3375597924104299,0.0038998097653772934,0.003899809765377321,-1.3375597924104297
1593910800000,51.43,-1.3396362158920072,0.003551046290424853,0.0035510462904248252,-1.3396362158920068
